Qty,Reference(s),Value
5,"C1, C2, C16, C17, C18",10µF electrolytic
13,"C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15",0.1µF
1,D1,Device:LED
1,D2,1N4148
1,D3,Device:LED
1,D4,Device:LED
1,D5,Device:LED
1,D6,Device:LED
1,D7,Device:LED
1,J1,Connector 01x03 Male  Rt angle
1,J2,Connector 02x04 Male  Rt angle
1,J3,Connector  01x03 Male  Rt angle
1,J4,Connector 02x25 Male Rt angle
1,JP1,Jumperx2
1,R1,3.3K
1,R2,10
6,"R3, R5, R6, R7, R8, R9",470
1,R4,10K
1,RN1,4700 Network 09
2,"RN2, RN5",1K Network 08
1,RN3,1K Network 05
1,RN4,2.2K Network 09
1,SW1,Switch:SW_DIP_x08
1,SW2,Switch:SW_DIP_x08
1,SW3,Switch:SW_Push
3,"U1, U8, U9",74LS244
1,U2,74LS93
1,U3,74LS32
1,U4,74LS04
2,"U5, U10",74LS688
1,U6,65CE02
1,U7,74LS245
1,U11,74LS74
1,U12,74LS07
