"Source:","N:\Projects\nhyodyne\Z80ESP\HARDWARE\Z80ESP.kicad_sch"
"Date:","8/12/2023 9:23:46 AM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","63"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","0.1µF","Z80ESP-rescue:C-device-Z80SERIAL-rescue-Z80SERIAL2-rescue-Z80SERIAL3-rescue-Z80SOUND-rescue-Z80VIDEO-rescue-Z80VDP1B-rescue","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C2","0.1µF","Z80ESP-rescue:C-device-Z80SERIAL-rescue-Z80SERIAL2-rescue-Z80SERIAL3-rescue-Z80SOUND-rescue-Z80VIDEO-rescue-Z80VDP1B-rescue","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C3","0.1µF","Z80ESP-rescue:C-device-Z80SERIAL-rescue-Z80SERIAL2-rescue-Z80SERIAL3-rescue-Z80SOUND-rescue-Z80VIDEO-rescue-Z80VDP1B-rescue","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C4","0.1µF","Z80ESP-rescue:C-device-Z80SERIAL-rescue-Z80SERIAL2-rescue-Z80SERIAL3-rescue-Z80SOUND-rescue-Z80VIDEO-rescue-Z80VDP1B-rescue","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C5","0.1µF","Z80ESP-rescue:C-device-Z80SERIAL-rescue-Z80SERIAL2-rescue-Z80SERIAL3-rescue-Z80SOUND-rescue-Z80VIDEO-rescue-Z80VDP1B-rescue","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C6","0.1µF","Z80ESP-rescue:C-device-Z80SERIAL-rescue-Z80SERIAL2-rescue-Z80SERIAL3-rescue-Z80SOUND-rescue-Z80VIDEO-rescue-Z80VDP1B-rescue","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C7","0.1µF","Z80ESP-rescue:C-device-Z80SERIAL-rescue-Z80SERIAL2-rescue-Z80SERIAL3-rescue-Z80SOUND-rescue-Z80VIDEO-rescue-Z80VDP1B-rescue","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C8","0.1µF","Z80ESP-rescue:C-device-Z80SERIAL-rescue-Z80SERIAL2-rescue-Z80SERIAL3-rescue-Z80SOUND-rescue-Z80VIDEO-rescue-Z80VDP1B-rescue","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C9","0.1µF","Z80ESP-rescue:C-device-Z80SERIAL-rescue-Z80SERIAL2-rescue-Z80SERIAL3-rescue-Z80SOUND-rescue-Z80VIDEO-rescue-Z80VDP1B-rescue","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"","","C10","0.1µF","Z80ESP-rescue:C-device-Z80SERIAL-rescue-Z80SERIAL2-rescue-Z80SERIAL3-rescue-Z80SOUND-rescue-Z80VIDEO-rescue-Z80VDP1B-rescue","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
